region_id,region_name,date,snow_cover
naqu-bange,那曲市班戈县,2020-01,1.4545454545454546
naqu-seni,那曲市色尼区,2020-01,17.083333333333332
naqu-nierong,那曲市聂荣县,2020-01,3.357142857142857
naqu-anduo,那曲市安多县,2020-01,14.692307692307692
naqu-shenzha,那曲市申扎县,2020-01,1.1764705882352942
changdu-karuo,昌都市卡若区,2020-01,3.85
changdu-luolong,昌都市洛隆县,2020-01,3.823529411764706
changdu-leiwuqi,昌都市类乌齐县,2020-01,10.214285714285714
changdu-jiangda,昌都市江达县,2020-01,0.0
rikaze-xietongmen,日喀则市谢通门县,2020-01,0.0
rikaze-jiangzi,日喀则市江孜县,2020-01,0.0
rikaze-kangma,日喀则市康马县,2020-01,0.0
rikaze-zhongba,日喀则市仲巴县,2020-01,2.727272727272727
shannan-cuona,山南市措那县,2020-01,15.428571428571429
ali-gaize,阿里地区改则县,2020-01,0.0
yushu-chengduo,玉树州称多县,2020-01,5.75
yushu-zaduo,玉树州杂多县,2020-01,24.375
guoluo-maqin,果洛州玛沁县,2020-01,0.0
guoluo-jiuzhi,果洛州久治县,2020-01,11.7
haibei-gangcha,海北州刚察县,2020-01,4.857142857142857
huangnan-zeku,黄南州泽库县,2020-01,7.0
ganzi-shiqu,甘孜州石渠县,2020-01,19.4
ganzi-seda,甘孜州色达县,2020-01,0.0
aba-hongyuan,阿坝州红原县,2020-01,0.6190476190476191
gannan-luqu,甘南州碌曲县,2020-01,10.333333333333334
naqu-bange,那曲市班戈县,2020-02,1.826086956521739
naqu-seni,那曲市色尼区,2020-02,0.55
naqu-nierong,那曲市聂荣县,2020-02,1.105263157894737
naqu-anduo,那曲市安多县,2020-02,0.0
naqu-shenzha,那曲市申扎县,2020-02,0.0
changdu-karuo,昌都市卡若区,2020-02,0.55
changdu-luolong,昌都市洛隆县,2020-02,0.7692307692307693
changdu-leiwuqi,昌都市类乌齐县,2020-02,0.8125
changdu-jiangda,昌都市江达县,2020-02,0.0
rikaze-xietongmen,日喀则市谢通门县,2020-02,0.0
rikaze-jiangzi,日喀则市江孜县,2020-02,0.0
rikaze-kangma,日喀则市康马县,2020-02,0.4230769230769231
rikaze-zhongba,日喀则市仲巴县,2020-02,2.3333333333333335
shannan-cuona,山南市措那县,2020-02,3.0434782608695654
ali-gaize,阿里地区改则县,2020-02,0.0
yushu-chengduo,玉树州称多县,2020-02,3.857142857142857
yushu-zaduo,玉树州杂多县,2020-02,6.8
guoluo-maqin,果洛州玛沁县,2020-02,0.0
guoluo-jiuzhi,果洛州久治县,2020-02,2.8421052631578947
haibei-gangcha,海北州刚察县,2020-02,0.0
huangnan-zeku,黄南州泽库县,2020-02,1.0
ganzi-shiqu,甘孜州石渠县,2020-02,17.88888888888889
ganzi-seda,甘孜州色达县,2020-02,2.642857142857143
aba-hongyuan,阿坝州红原县,2020-02,7.0
gannan-luqu,甘南州碌曲县,2020-02,0.0
naqu-bange,那曲市班戈县,2020-03,2.6363636363636362
naqu-seni,那曲市色尼区,2020-03,1.8125
naqu-nierong,那曲市聂荣县,2020-03,1.2105263157894737
naqu-anduo,那曲市安多县,2020-03,5.2631578947368425
naqu-shenzha,那曲市申扎县,2020-03,0.0
changdu-karuo,昌都市卡若区,2020-03,0.0
changdu-luolong,昌都市洛隆县,2020-03,0.0
changdu-leiwuqi,昌都市类乌齐县,2020-03,0.0
changdu-jiangda,昌都市江达县,2020-03,0.0
rikaze-xietongmen,日喀则市谢通门县,2020-03,0.0
rikaze-jiangzi,日喀则市江孜县,2020-03,0.0
